"DATE","day_of_year","year","season","Net_Depth","Station","source","CI","CSI","DW","Cfin_CI_m2","Cfin_CII_m2","Cfin_CIII_m2","Cfin_CIV_m2","Cfin_CV_m2","Cfin_F_m2","Cfin_M_m2","reference_prediction_CI","reference_difference_CI","reference_prediction_DW","reference_difference_DW"
2008-04-15,106,2008,"spring",103,"DMC-2","UBER",0,NA,0.764240404016559,0,0,0,0,0,0,0,14976.212103998,-14976.212103998,1.63088104033342,-0.866640636316857
2008-04-15,106,2008,"spring",103,"DMC-2","UBER",NA,NA,0.830696091322344,NA,NA,NA,NA,NA,NA,NA,14976.212103998,NA,1.63088104033342,-0.800184949011072
2008-05-07,128,2008,"spring",105,"DMC-2","UBER",NA,NA,2.38080974087705,NA,NA,NA,NA,NA,NA,NA,24827.2661156683,NA,2.92579345381997,-0.544983712942923
2008-05-07,128,2008,"spring",105,"DMC-2","UBER",6639.708440693,2.05263157894737,2.82661873618073,11951.4751932474,6639.70844069299,2655.8833762772,2655.8833762772,0,1327.9416881386,0,24827.2661156683,-18187.5576749753,2.92579345381997,-0.0991747176392432
2008-05-21,142,2008,"spring",108,"DMC-2","UBER",NA,NA,3.33934578868564,NA,NA,NA,NA,NA,NA,NA,30405.6198574517,NA,4.10081638332295,-0.761470594637314
2008-05-21,142,2008,"spring",108,"DMC-2","UBER",47745.539787165,3.5959595959596,3.47197228809445,1136.79856636107,7389.19068134697,16483.5792122356,21030.7734776798,8525.98924770805,568.399283180536,1136.79856636107,30405.6198574517,17339.9199297133,4.10081638332295,-0.628844095228504
2008-05-30,151,2008,"summer",105,"DMC-2","UBER",59947.0819216853,3.38775510204082,4.79007537507136,6070.59057434788,8347.06203972833,28835.3052281524,13658.8287922827,16694.1240794567,0,758.823821793485,32595.5018826563,27351.580039029,4.88144114444853,-0.0913657693771706
2008-05-30,151,2008,"summer",105,"DMC-2","UBER",NA,NA,5.33547999698544,NA,NA,NA,NA,NA,NA,NA,32595.5018826563,NA,4.88144114444853,0.45403885253691
2008-06-17,169,2008,"summer",108,"DMC-2","UBER",9946.98745565939,3.8,6.16713222250882,4262.99462385402,0,0,0,9946.98745565939,0,0,33159.3110730719,-23212.3236174125,5.89235394692368,0.274778275585144
2008-06-17,169,2008,"summer",108,"DMC-2","UBER",NA,NA,6.50343513172396,NA,NA,NA,NA,NA,NA,NA,33159.3110730719,NA,5.89235394692368,0.611081184800284
2008-07-02,184,2008,"summer",105,"DMC-2","UBER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31034.5678114367,NA,5.7055886381587,NA
2008-07-02,184,2008,"summer",105,"DMC-2","UBER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31034.5678114367,NA,5.7055886381587,NA
2008-07-08,190,2008,"summer",105,"DMC-2","UBER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29888.2977244081,NA,5.53573611375979,NA
2008-07-08,190,2008,"summer",105,"DMC-2","UBER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29888.2977244081,NA,5.53573611375979,NA
2008-07-15,197,2008,"summer",105,"DMC-2","UBER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28522.6135358894,NA,5.4061438117441,NA
2008-07-15,197,2008,"summer",105,"DMC-2","UBER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28522.6135358894,NA,5.4061438117441,NA
2008-07-16,198,2008,"summer",105,"DMC-2","UBER",0,NA,3.26294243371198,0,0,0,0,0,0,0,28331.7651784895,-28331.7651784895,5.39785947927805,-2.13491704556607
2008-07-16,198,2008,"summer",105,"DMC-2","UBER",0,NA,3.26294243371198,0,0,0,0,0,0,0,28331.7651784895,-28331.7651784895,5.39785947927805,-2.13491704556607
2008-07-16,198,2008,"summer",105,"DMC-2","UBER",NA,NA,2.9167290650187,NA,NA,NA,NA,NA,NA,NA,28331.7651784895,NA,5.39785947927805,-2.48113041425935
