"DATE","day_of_year","year","season","Net_Depth","Station","source","CI","CSI","DW","Cfin_CI_m2","Cfin_CII_m2","Cfin_CIII_m2","Cfin_CIV_m2","Cfin_CV_m2","Cfin_F_m2","Cfin_M_m2"
"2004-12-06",341,2004,"fall",255,"WB-7","UBER",NA,NA,19.5250035911074,NA,NA,NA,NA,NA,NA,NA
"2004-12-06",341,2004,"fall",255,"WB-7","UBER",NA,NA,21.8190761170602,NA,NA,NA,NA,NA,NA,NA
"2005-01-30",30,2005,"winter",250,"WB-7","UBER",12744.6185469811,5.3125,12.8877646248638,554.113849868742,0,0,0,6372.30927349054,4987.02464881868,1385.28462467186
"2005-01-30",30,2005,"winter",250,"WB-7","UBER",NA,NA,16.2032124932451,NA,NA,NA,NA,NA,NA,NA
"2005-02-14",45,2005,"winter",240,"WB-7","UBER",NA,NA,6.10485351786386,NA,NA,NA,NA,NA,NA,NA
"2005-02-14",45,2005,"winter",240,"WB-7","UBER",24955.4950768092,5.11111111111111,9.45073841334718,1940.98295041849,554.566557262426,0,2772.83278631213,6932.08196578032,12200.4642597734,3050.11606494334
"2005-03-18",77,2005,"spring",244,"WB-7","UBER",NA,NA,4.10703940054091,NA,NA,NA,NA,NA,NA,NA
"2005-03-18",77,2005,"spring",244,"WB-7","UBER",13998.1207914949,5.38679245283019,3.73745205291069,415.785766084007,277.190510722671,138.595255361336,138.595255361336,5128.02444836942,6791.16751270545,1801.73831969736
"2005-04-06",96,2005,"spring",258,"WB-7","UBER",10244.8735998494,4.81521739130435,6.95451554728516,2215.10780537284,276.888475671605,415.332713507408,276.888475671605,1107.55390268642,8306.65427014816,138.444237835803
"2005-04-06",96,2005,"spring",258,"WB-7","UBER",NA,NA,6.95451554728516,NA,NA,NA,NA,NA,NA,NA
"2005-05-10",130,2005,"spring",280,"WB-7","UBER",29490.6530742468,2.12621359223301,NA,41471.2308856596,23961.1556228255,15666.9094456936,7372.6632685617,2764.74872571064,3686.33163428085,0
"2005-05-10",130,2005,"spring",280,"WB-7","UBER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2005-06-17",168,2005,"summer",258,"WB-7","UBER",11075.5390268642,3.06896551724138,6.79299726981005,8860.43122149137,1476.73853691523,1476.73853691523,738.369268457614,6645.32341611852,738.369268457614,1476.73853691523
"2005-06-17",168,2005,"summer",258,"WB-7","UBER",NA,NA,7.54521096205124,NA,NA,NA,NA,NA,NA,NA
"2005-07-12",193,2005,"summer",250,"WB-7","UBER",NA,NA,9.56308152565139,NA,NA,NA,NA,NA,NA,NA
"2005-07-12",193,2005,"summer",250,"WB-7","UBER",46545.5633889744,4.47651006711409,11.4239805381272,969.699237270299,646.4661581802,4202.0300281713,11959.6239263337,29414.2101971991,646.4661581802,323.2330790901
"2005-08-16",228,2005,"summer",253,"WB-7","UBER",NA,NA,17.8844829378507,NA,NA,NA,NA,NA,NA,NA
"2005-08-16",228,2005,"summer",253,"WB-7","UBER",47088.7263722449,4.8735632183908,15.9547684649489,553.985016144058,553.985016144058,553.985016144058,2215.94006457623,43210.8312592365,0,1107.97003228812
"2005-09-13",256,2005,"fall",255,"WB-7","UBER",NA,NA,20.323543927103,NA,NA,NA,NA,NA,NA,NA
"2005-09-13",256,2005,"fall",255,"WB-7","UBER",59821.2875982864,4.95833333333333,20.794359616534,0,0,0,4154.25608321433,54005.3290817863,1661.70243328573,0
"2005-10-20",293,2005,"fall",251,"WB-7","UBER",84680.451061367,4.99236641221374,28.5577202734217,0,0,0,3232.078284785,78862.710148754,2585.662627828,0
"2005-10-20",293,2005,"fall",251,"WB-7","UBER",NA,NA,22.9477558219735,NA,NA,NA,NA,NA,NA,NA
"2006-02-09",40,2006,"winter",251,"WB-7","UBER",30058.3280485005,5.38172043010753,9.37302702587649,0,0,0,484.81174271775,17614.8266520782,6625.76048380925,5332.92916989525
"2006-02-09",40,2006,"winter",251,"WB-7","UBER",NA,NA,12.2126386617947,NA,NA,NA,NA,NA,NA,NA
"2006-03-22",81,2006,"spring",252,"WB-7","UBER",6094.30381877893,5.54285714285714,4.20137611749153,184.675873296331,184.675873296331,92.3379366481655,0,1015.71730312982,3693.51746592662,1292.73111307432
"2006-05-08",128,2006,"spring",247,"WB-7","UBER",26788.5476359502,2.93814432989691,8.90026401628896,12008.6592850811,6004.32964254055,9699.30173025782,7851.81568639918,8313.68719736384,923.743021929316,0
"2006-05-08",128,2006,"spring",247,"WB-7","UBER",NA,NA,20.0821732967433,NA,NA,NA,NA,NA,NA,NA
"2006-06-06",157,2006,"summer",251,"WB-7","UBER",36476.312071145,4.88135593220339,14.405834640756,2308.627346275,2077.7646116475,692.5882038825,230.8627346275,23317.1361973775,11543.136731375,692.5882038825
"2006-06-06",157,2006,"summer",251,"WB-7","UBER",NA,NA,13.6024323242523,NA,NA,NA,NA,NA,NA,NA
"2006-06-26",177,2006,"summer",252,"WB-7","UBER",NA,NA,4.88005995185556,NA,NA,NA,NA,NA,NA,NA
"2006-06-26",177,2006,"summer",252,"WB-7","UBER",43398.8302246379,3.45112781954887,8.97524744220168,6463.65556537159,11542.2420810207,11080.5523977799,13389.000813984,18005.8976463923,923.379366481655,0
"2006-07-18",199,2006,"summer",252,"WB-7","UBER",NA,NA,15.8451899288252,NA,NA,NA,NA,NA,NA,NA
"2006-07-18",199,2006,"summer",252,"WB-7","UBER",50324.1754732502,4.71171171171171,15.2634609279418,0,923.379366481655,1846.75873296331,9233.79366481655,38320.2437089887,923.379366481655,0
"2006-08-03",215,2006,"summer",252,"WB-7","UBER",NA,NA,16.9855634464301,NA,NA,NA,NA,NA,NA,NA
"2006-08-03",215,2006,"summer",252,"WB-7","UBER",39889.9886320076,4.85135135135135,19.6448960218972,0,1108.05523977799,0,3324.16571933396,36011.7952927846,554.027619888993,0
"2006-08-31",243,2006,"summer",252,"WB-7","UBER",NA,NA,18.6107111314378,NA,NA,NA,NA,NA,NA,NA
"2006-08-31",243,2006,"summer",252,"WB-7","UBER",38781.9333922296,4.79545454545455,19.100102195673,1846.75873296331,0,0,923.379366481655,37858.5540257479,0,0
"2006-09-14",257,2006,"fall",255,"WB-7","UBER",NA,NA,18.9618710998272,NA,NA,NA,NA,NA,NA,NA
"2006-09-14",257,2006,"fall",255,"WB-7","UBER",52435.9434503498,4.93661971830986,18.9526394196423,0,0,0,4431.20648876195,46896.9353393974,1107.80162219049,0
"2006-10-09",282,2006,"fall",253,"WB-7","UBER",NA,NA,25.1647693583438,NA,NA,NA,NA,NA,NA,NA
"2006-10-09",282,2006,"fall",253,"WB-7","UBER",61400.0059559665,4.89473684210526,30.3999277609052,0,0,0,9694.73778252101,48473.6889126051,3231.57926084034,0
"2006-10-16",289,2006,"fall",252,"WB-7","UBER",38227.9057723405,4.89855072463768,24.7881190932,0,0,0,3878.19333922295,34349.7124331176,0,0
"2006-12-12",346,2006,"fall",248,"WB-7","UBER",NA,NA,29.2895477240965,NA,NA,NA,NA,NA,NA,NA
"2006-12-12",346,2006,"fall",248,"WB-7","UBER",98555.494864746,5.03092783505155,31.4001316581728,0,0,0,1016.03602953346,93475.3147170787,4064.14411813386,0
"2007-02-22",53,2007,"winter",250,"WB-7","UBER",19393.984745406,5.33035714285714,7.94691613020088,1108.22769973748,184.704616622914,0,184.704616622914,7203.48004829365,9604.64006439154,2401.16001609788
"2007-02-22",53,2007,"winter",250,"WB-7","UBER",21333.3832199466,5.27160493827161,8.270149209291,1108.22769973748,0,0,277.056924934371,10251.1062225717,10805.2200724405,0
"2007-03-01",60,2007,"winter",254,"WB-7","UBER",14402.5114444037,5.36363636363636,6.1302997430026,830.914121792521,0,0,276.97137393084,4985.48473075513,8032.16984399437,1107.88549572336
"2007-04-10",100,2007,"spring",255,"WB-7","UBER",1984.81123975796,5.36170212765957,1.36628866736828,138.475202773811,46.1584009246037,46.1584009246037,46.1584009246037,276.950405547622,1292.4352258889,323.108806472226
"2007-04-10",100,2007,"spring",255,"WB-7","UBER",NA,NA,1.17242338348492,NA,NA,NA,NA,NA,NA,NA
"2007-04-26",116,2007,"spring",257,"WB-7","UBER",5538.17916630848,1.55555555555556,12.6178182005728,30459.9854146966,13845.4479157712,4153.63437473136,0,1384.54479157712,0,0
"2007-05-23",143,2007,"spring",245,"WB-7","UBER",NA,NA,18.7642595218657,NA,NA,NA,NA,NA,NA,NA
"2007-05-23",143,2007,"spring",245,"WB-7","UBER",87215.4652321083,4.7,16.1588822765845,0,1478.22822427302,1478.22822427302,28086.3362611874,48781.5314010097,7391.14112136511,1478.22822427302
"2007-06-18",169,2007,"summer",257,"WB-7","UBER",42090.1616639444,4.92903225806452,11.4501854263428,830.726874946272,0,830.726874946272,3322.90749978509,32675.25708122,4430.54333304678,830.726874946272
"2007-08-20",232,2007,"summer",255,"WB-7","UBER",62960.0588611594,4.859375,18.5833722122454,1015.48482034128,1015.48482034128,0,5585.16651187705,53820.6954780879,3554.19687119448,0
"2007-08-20",232,2007,"summer",255,"WB-7","UBER",NA,NA,21.8006127566903,NA,NA,NA,NA,NA,NA,NA
