"fYear","month","polygon","n_observations","mean_cfin_0_80","sd_cfin_0_80","min_cfin_0_80","max_cfin_0_80","mean_cgla_0_80","sd_cgla_0_80","min_cgla_0_80","max_cgla_0_80","mean_chyp_0_80","sd_chyp_0_80","min_chyp_0_80","max_chyp_0_80","mean_cfin_below_80","sd_cfin_below_80","min_cfin_below_80","max_cfin_below_80","mean_cgla_below_80","sd_cgla_below_80","min_cgla_below_80","max_cgla_below_80","mean_chyp_below_80","sd_chyp_below_80","min_chyp_below_80","max_chyp_below_80","mean_cfin_total","sd_cfin_total","min_cfin_total","max_cfin_total","mean_cgla_total","sd_cgla_total","min_cgla_total","max_cgla_total","mean_chyp_total","sd_chyp_total","min_chyp_total","max_chyp_total"
1999,1,"ecomon_14",38,36.911,30.369,6.974,111.728,0,0,0,0,0.033,0.043,0.001,0.193,46.417,23.061,13.947,103.157,0,0,0,0,0.442,0.548,0.062,2.068,83.328,39.228,35.045,184.336,0,0,0,0,0.475,0.584,0.082,2.261
1999,1,"ecomon_15",114,145.205,32.743,53.653,212.037,0,0,0,0,0.104,0.03,0.039,0.175,16.791,14.325,0.606,59.522,0,0,0,0,0.018,0.025,0,0.085,149.181,33.83,53.653,217.31,0,0,0,0,0.109,0.03,0.039,0.175
1999,1,"ecomon_16",129,50.593,25.947,14.368,113.945,0,0,0,0,0.05,0.025,0.013,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.593,25.947,14.368,113.945,0,0,0,0,0.05,0.025,0.013,0.118
1999,1,"ecomon_17",30,10.528,4.806,3.115,20.874,0,0,0,0,0.037,0.014,0.017,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.528,4.806,3.115,20.874,0,0,0,0,0.037,0.014,0.017,0.067
1999,1,"ecomon_18",43,84.941,80.536,7.933,252.43,0,0,0,0,0.038,0.044,0.001,0.238,81.26,23.64,28.333,117.918,0,0,0,0,0.344,0.411,0.049,2.383,166.201,94.808,62.275,349.387,0,0,0,0,0.382,0.443,0.055,2.622
1999,1,"ecomon_19",144,215.254,52.578,93.783,308.064,0,0,0,0,0.151,0.051,0.029,0.276,17.499,15.985,0.358,53.637,0,0,0,0,0.012,0.017,0,0.057,220.844,55.852,105.679,353.252,0,0,0,0,0.155,0.053,0.065,0.309
1999,1,"ecomon_20",80,84.041,28.602,29.475,138.954,0,0,0,0,0.122,0.032,0.053,0.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.041,28.602,29.475,138.954,0,0,0,0,0.122,0.032,0.053,0.189
1999,1,"ecomon_21",17,32.433,16.687,10.699,73.716,0,0,0,0.001,0.06,0.031,0.014,0.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.433,16.687,10.699,73.716,0,0,0,0.001,0.06,0.031,0.014,0.116
1999,1,"ecomon_22",38,72.414,67.43,3.61,259.833,0,0,0,0,0.036,0.049,0.001,0.217,80.638,29.661,28.077,150.222,0,0,0,0,0.341,0.427,0.032,1.861,153.051,84.429,61.995,356.753,0,0,0,0,0.377,0.469,0.044,2.079
1999,1,"ecomon_23",151,266.271,62.665,35.023,448.216,0,0,0,0,0.215,0.089,0.01,0.497,31.073,24.673,0.009,84.026,0,0,0,0,0.03,0.038,0,0.124,277.589,63.53,48.7,448.216,0,0,0,0,0.226,0.085,0.024,0.497
