"station","year","season","variable","anomaly","anomaly_low","anomaly_high","z_score","method_used"
"WBTS",2004,"spring","CI",-5061.2235,-10492.7028,629.6955,-1.2755,"posterior"
"WBTS",2005,"spring","CI",-3714.1221,-7788.0382,296.9058,-0.936,"posterior"
"WBTS",2006,"spring","CI",-2123.4344,-4545.5378,46.8432,-0.5351,"posterior"
"WBTS",2007,"spring","CI",-312.3837,-1097.0687,105.6727,-0.0787,"posterior"
"WBTS",2008,"spring","CI",1667.5579,-285.4343,3654.09,0.4202,"posterior"
"WBTS",2009,"spring","CI",3738.6774,-293.6527,7844.5534,0.9422,"posterior"
"WBTS",2010,"spring","CI",5804.9282,-159.9394,11898.9269,1.4629,"posterior"
"WBTS",2011,"spring","CI",7758.2567,119.0049,15728.2686,1.9552,"posterior"
"WBTS",2012,"spring","CI",9485.4538,373.4284,18699.2673,2.3905,"posterior"
"WBTS",2013,"spring","CI",10877.3255,923.9724,21105.0157,2.7412,"posterior"
"WBTS",2014,"spring","CI",11839.4372,1173.3508,22625.5335,2.9837,"posterior"
"WBTS",2015,"spring","CI",12296.514,1078.9806,24184.1127,3.0989,"posterior"
"WBTS",2016,"spring","CI",12194.9745,-59.5434,24279.535,3.0733,"posterior"
"WBTS",2017,"spring","CI",11510.8131,-1446.8473,24113.0426,2.9009,"posterior"
"WBTS",2018,"spring","CI",10264.9469,-2848.0287,23378.2453,2.5869,"posterior"
"WBTS",2019,"spring","CI",8530.7768,-4647.097,21659.9465,2.1499,"posterior"
"WBTS",2020,"spring","CI",6406.4994,-7232.9329,19190.0401,1.6145,"posterior"
"WBTS",2021,"spring","CI",4007.113,-9631.301,16267.4247,1.0098,"posterior"
"WBTS",2022,"spring","CI",1472.0898,-11177.68,12712.3972,0.371,"posterior"
"WBTS",2023,"spring","CI",-1019.0694,-13317.123,9684.1437,-0.2568,"posterior"
"WBTS",2024,"spring","CI",-3285.5089,-15290.9501,7518.8909,-0.828,"posterior"
"WBTS",2025,"spring","CI",-5195.2561,-17541.8866,5756.8347,-1.3093,"posterior"
"WBTS",2004,"summer","CI",-12720.307,-21695.3214,-1496.7459,-1.3744,"posterior"
